Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2151,1934,999,49310.839844,0.020259
2,1000,0.1,0.2,50.0,1000,2162,1933,999,49495.597656,0.020184
3,1000,0.1,0.2,50.0,1000,2174,1946,999,49862.417969,0.020035
4,1000,0.1,0.2,50.0,1000,2193,1975,999,50243.351562,0.019883
5,1000,0.1,0.2,50.0,1000,2141,1928,999,51740.281250,0.019308
6,1000,0.1,0.2,50.0,1000,2113,1928,999,49619.570312,0.020133
7,1000,0.1,0.2,50.0,1000,2289,2052,999,48007.539062,0.020809
8,1000,0.1,0.2,50.0,1000,2060,1884,999,50924.257812,0.019617
9,1000,0.1,0.2,50.0,1000,85653,7357,362,50553.992188,0.007161
10,1000,0.1,0.2,50.0,1000,2105,1891,999,49165.882812,0.020319
